epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4817,1.40874,5.34087,0.01158,0.0042,0.63961,0.23758,0.1533,1.06143,7.17016,0.00979,0.000540649,0.000540649,0.000540649
2,55.0362,1.36801,3.76759,0.01167,0.77451,0.10749,0.47509,0.30649,1.19579,6.03398,0.01251,0.00107461,0.00107461,0.00107461
3,78.3136,1.363,2.84385,0.01178,0.83729,0.56106,0.73144,0.44212,1.32685,4.1017,0.01349,0.00158656,0.00158656,0.00158656
4,101.686,1.41732,2.15138,0.01238,0.78153,0.58993,0.69017,0.43923,1.29907,2.74515,0.01276,0.00156798,0.00156798,0.00156798
5,126.711,1.41104,1.83024,0.01248,0.71912,0.66706,0.74745,0.44153,1.4389,2.03516,0.01499,0.00153497,0.00153497,0.00153497
6,150.524,1.38632,1.52884,0.01189,0.87718,0.65709,0.7911,0.429,1.58755,1.69251,0.01791,0.00150197,0.00150197,0.00150197
7,173.987,1.34882,1.33896,0.01199,0.84603,0.61901,0.75902,0.47301,1.3971,1.63221,0.01437,0.00146896,0.00146896,0.00146896
8,196.916,1.30243,1.17219,0.01099,0.78029,0.74643,0.81788,0.47998,1.50559,1.22174,0.01599,0.00143595,0.00143595,0.00143595
9,219.928,1.30914,1.07449,0.01153,0.79604,0.75148,0.82682,0.52363,1.31007,1.06429,0.01393,0.00140295,0.00140295,0.00140295
10,242.964,1.27931,1.01878,0.01066,0.82461,0.7697,0.86788,0.53726,1.36051,1.00638,0.01417,0.00136994,0.00136994,0.00136994
11,265.831,1.29315,1.00194,0.01104,0.85723,0.78768,0.87535,0.53225,1.42413,0.90692,0.01549,0.00133693,0.00133693,0.00133693
12,288.812,1.27197,0.97041,0.01066,0.81276,0.82718,0.87049,0.53782,1.33737,0.91076,0.01399,0.00130393,0.00130393,0.00130393
13,311.829,1.25563,0.903,0.01077,0.82096,0.81188,0.89752,0.48595,1.56922,0.94526,0.01689,0.00127092,0.00127092,0.00127092
14,334.757,1.20313,0.84703,0.00996,0.75437,0.83294,0.87776,0.52631,1.38389,0.86434,0.0141,0.00123791,0.00123791,0.00123791
15,357.884,1.20486,0.82829,0.01058,0.88884,0.79485,0.87805,0.53351,1.32357,0.903,0.01393,0.00120491,0.00120491,0.00120491
16,380.76,1.25098,0.83081,0.01056,0.84932,0.84996,0.91391,0.58819,1.29538,0.71233,0.01419,0.0011719,0.0011719,0.0011719
17,403.857,1.19056,0.75968,0.01018,0.85324,0.85267,0.90616,0.53827,1.44695,0.77633,0.01478,0.00113889,0.00113889,0.00113889
18,426.863,1.13653,0.77373,0.00968,0.87191,0.83583,0.89863,0.51123,1.54598,0.81288,0.01639,0.00110589,0.00110589,0.00110589
19,449.712,1.14658,0.71328,0.00942,0.91352,0.82549,0.90082,0.56041,1.35672,0.77141,0.01441,0.00107288,0.00107288,0.00107288
20,472.878,1.11477,0.70365,0.00946,0.91535,0.80118,0.92143,0.56432,1.39801,0.73197,0.01431,0.00103987,0.00103987,0.00103987
21,495.929,1.13077,0.69806,0.00927,0.92038,0.85193,0.92304,0.59633,1.32666,0.67175,0.01411,0.00100687,0.00100687,0.00100687
22,518.859,1.08477,0.65133,0.00893,0.89616,0.83529,0.90981,0.59193,1.25055,0.7033,0.01268,0.000973861,0.000973861,0.000973861
23,541.912,1.05691,0.60298,0.00885,0.95296,0.85698,0.93961,0.56573,1.39528,0.58283,0.01456,0.000940855,0.000940855,0.000940855
24,564.743,1.06158,0.65458,0.0089,0.90513,0.84627,0.90886,0.56772,1.33734,0.66528,0.01353,0.000907848,0.000907848,0.000907848
25,587.429,1.04969,0.61609,0.00857,0.91866,0.83824,0.90876,0.56491,1.36142,0.67444,0.01349,0.000874842,0.000874842,0.000874842
26,610.214,1.04117,0.62181,0.0087,0.92236,0.85613,0.92766,0.59321,1.3195,0.64525,0.01296,0.000841835,0.000841835,0.000841835
27,632.753,1.04147,0.58564,0.00829,0.94614,0.85205,0.91095,0.58683,1.29361,0.69502,0.01274,0.000808828,0.000808828,0.000808828
28,655.976,1.01133,0.5652,0.00804,0.96508,0.85326,0.93228,0.59124,1.28958,0.63091,0.01283,0.000775822,0.000775822,0.000775822
29,679.413,1.01541,0.57733,0.00827,0.94765,0.85829,0.91147,0.59197,1.32916,0.59635,0.01314,0.000742815,0.000742815,0.000742815
30,702.668,1.0001,0.56383,0.00801,0.9409,0.86549,0.93131,0.57967,1.28358,0.62627,0.0127,0.000709809,0.000709809,0.000709809
31,725.855,0.9825,0.5681,0.00795,0.93734,0.89216,0.94947,0.60037,1.30292,0.56945,0.01334,0.000676802,0.000676802,0.000676802
32,749.231,0.94626,0.51556,0.00761,0.91729,0.85901,0.93286,0.5818,1.3292,0.58901,0.01345,0.000643795,0.000643795,0.000643795
33,772.56,0.92529,0.52414,0.00751,0.89299,0.88549,0.93018,0.59598,1.25326,0.60621,0.01273,0.000610789,0.000610789,0.000610789
34,795.523,0.92893,0.49456,0.00758,0.9199,0.86574,0.93237,0.56099,1.37817,0.6968,0.01422,0.000577782,0.000577782,0.000577782
35,818.042,0.92737,0.5176,0.00699,0.8963,0.88212,0.92815,0.59118,1.27356,0.65029,0.01271,0.000544776,0.000544776,0.000544776
36,841.152,0.91717,0.487,0.00734,0.9326,0.88506,0.93251,0.57042,1.36604,0.63638,0.0135,0.000511769,0.000511769,0.000511769
37,864.423,0.90484,0.47725,0.00698,0.915,0.88706,0.93661,0.59992,1.26835,0.61378,0.01269,0.000478762,0.000478762,0.000478762
38,887.407,0.91339,0.48168,0.00694,0.89696,0.87807,0.93135,0.57748,1.30374,0.62761,0.01306,0.000445756,0.000445756,0.000445756
39,910.724,0.86706,0.45895,0.00702,0.9111,0.89161,0.93734,0.59025,1.27452,0.6004,0.0129,0.000412749,0.000412749,0.000412749
40,933.58,0.86717,0.46166,0.00684,0.89057,0.8872,0.94001,0.55996,1.41404,0.59804,0.01482,0.000379743,0.000379743,0.000379743
41,955.949,0.77365,0.32786,0.00705,0.92308,0.87998,0.94345,0.58489,1.34315,0.59743,0.014,0.000346736,0.000346736,0.000346736
42,977.866,0.73481,0.28612,0.00662,0.94319,0.86294,0.941,0.58667,1.27247,0.62085,0.01284,0.000313729,0.000313729,0.000313729
43,1000.2,0.71123,0.29734,0.00645,0.93991,0.87541,0.94129,0.60472,1.25943,0.58515,0.01288,0.000280723,0.000280723,0.000280723
44,1022.5,0.70047,0.28639,0.00601,0.89479,0.90392,0.93406,0.59361,1.27985,0.59839,0.01306,0.000247716,0.000247716,0.000247716
45,1044.64,0.69414,0.2841,0.00604,0.92194,0.83298,0.92769,0.57939,1.28765,0.63772,0.01293,0.00021471,0.00021471,0.00021471
46,1066.87,0.67842,0.29119,0.00579,0.91156,0.87862,0.93057,0.58129,1.27888,0.65703,0.01285,0.000181703,0.000181703,0.000181703
47,1089.12,0.66646,0.27388,0.0056,0.93525,0.84504,0.92894,0.57629,1.29107,0.66475,0.01293,0.000148696,0.000148696,0.000148696
48,1111.96,0.66189,0.28907,0.00573,0.95071,0.84112,0.93058,0.59283,1.25486,0.63847,0.01266,0.00011569,0.00011569,0.00011569
49,1134.95,0.66297,0.27933,0.0056,0.95358,0.86039,0.93152,0.58125,1.29801,0.64647,0.01293,8.26832e-05,8.26832e-05,8.26832e-05
50,1157.12,0.64754,0.27016,0.00542,0.93828,0.86861,0.93075,0.59593,1.25513,0.63483,0.01253,4.96766e-05,4.96766e-05,4.96766e-05
